,ghi,dni,dhi
2020-05-18 06:00:00-06:00,0.0,0.0,0.0
2020-05-18 06:05:00-06:00,0.07871939610715199,0.0,0.07871939610715199
2020-05-18 06:10:00-06:00,0.5724879286199454,0.0,0.5724879286199454
2020-05-18 06:15:00-06:00,1.9156725737211915,0.0,1.9156725737211915
2020-05-18 06:20:00-06:00,4.421121395917974,0.0,4.421121395917974
2020-05-18 06:25:00-06:00,8.187056909747538,0.0,8.187056909747538
2020-05-18 06:30:00-06:00,13.167989213345834,0.0,13.167989213345834
2020-05-18 06:35:00-06:00,19.258143048476736,0.0,19.258143048476736
2020-05-18 06:40:00-06:00,26.340355645636528,0.0,26.340355645636528
2020-05-18 06:45:00-06:00,34.3070496367495,0.0,34.3070496367495
2020-05-18 06:50:00-06:00,43.0664950750939,0.0,43.0664950750939
2020-05-18 06:55:00-06:00,52.542835544163864,0.0,52.542835544163864
2020-05-18 07:00:00-06:00,62.67393735356497,5.701770184123245,61.62547548911779
2020-05-18 07:05:00-06:00,73.40882889207808,19.609347208633956,69.47298106703977
2020-05-18 07:10:00-06:00,84.7053324080174,33.752408201258305,77.36288234541806
2020-05-18 07:15:00-06:00,96.52816389056191,48.12625698863665,85.24964543042975
2020-05-18 07:20:00-06:00,108.84728689762312,62.68683606028698,93.10365785150242
2020-05-18 07:25:00-06:00,121.63678443987963,77.3830498679017,100.90475654310626
2020-05-18 07:30:00-06:00,134.87390196961113,92.17063081366088,108.63791547300465
2020-05-18 07:35:00-06:00,148.53834070498277,107.01696206870821,116.29050623864546
2020-05-18 07:40:00-06:00,162.61159926626308,121.90126662275816,123.85059708176158
2020-05-18 07:45:00-06:00,177.07670675786068,136.81385449775237,131.30594320568423
2020-05-18 07:50:00-06:00,191.91775142074493,151.75375375482326,138.64341825982953
2020-05-18 07:55:00-06:00,207.1196715058994,166.7269986850967,145.84871316987383
2020-05-18 08:00:00-06:00,222.6680477955008,181.74488079391634,152.90622296705152
2020-05-18 08:05:00-06:00,238.54892670405823,196.82251512137012,159.7990230687878
2020-05-18 08:10:00-06:00,254.7487039692185,211.97770188594967,166.50892473669774
