,ghi,dni,dhi
2020-05-22 06:00:00-06:00,0.018064833716962176,0.0,0.018064833716962176
2020-05-22 06:05:00-06:00,0.47659951660999733,0.0,0.47659951660999733
2020-05-22 06:10:00-06:00,2.12609070864751,0.0,2.12609070864751
2020-05-22 06:15:00-06:00,5.680334133559948,0.0,5.680334133559948
2020-05-22 06:20:00-06:00,11.43078544740229,0.0,11.43078544740229
2020-05-22 06:25:00-06:00,19.297642361800147,0.0,19.297642361800147
2020-05-22 06:30:00-06:00,29.021068288796993,0.0,29.021068288796993
2020-05-22 06:35:00-06:00,40.2980389893655,42.81908119128212,35.70497863228131
2020-05-22 06:40:00-06:00,52.84646959627651,86.71607244759899,42.102058571663136
2020-05-22 06:45:00-06:00,66.42613163894232,131.3990289708912,47.954496713170634
2020-05-22 06:50:00-06:00,80.84015923235245,176.0683932261346,53.14835764413771
2020-05-22 06:55:00-06:00,95.92963679953908,219.6642099270024,57.70774653919803
2020-05-22 07:00:00-06:00,111.56657484496145,261.3730590642272,61.713052301846524
2020-05-22 07:05:00-06:00,127.64750702817472,300.6982346718431,65.25939656280175
2020-05-22 07:10:00-06:00,144.08811002697928,337.3964644346118,68.43883068675956
2020-05-22 07:15:00-06:00,160.81898165280305,371.3977605135935,71.33401885655218
2020-05-22 07:20:00-06:00,177.78231872469036,402.74082168673795,74.01685176625651
2020-05-22 07:25:00-06:00,194.92949822662223,431.5287803400108,76.54886627390185
2020-05-22 07:30:00-06:00,212.219007084292,457.8990179821453,78.98239841335507
2020-05-22 07:35:00-06:00,229.6150561222497,482.0052855702094,81.36167683462625
2020-05-22 07:40:00-06:00,247.0863829264729,504.00602608415437,83.72392179472396
2020-05-22 07:45:00-06:00,264.6054771339636,524.0582797828464,86.10015779466642
2020-05-22 07:50:00-06:00,282.14773622466714,542.3127196929978,88.51617174788896
2020-05-22 07:55:00-06:00,299.6910185937217,558.6940417107305,91.07454468618053
2020-05-22 08:00:00-06:00,317.21520838309925,575.114579676417,93.10997656867843
2020-05-22 08:05:00-06:00,334.7018175227813,592.5987189067465,94.19493984975813
2020-05-22 08:10:00-06:00,352.1338928627849,609.247477504026,95.0715085923618
2020-05-22 08:15:00-06:00,369.495544456514,624.29813507493,96.10775732691462
2020-05-22 08:20:00-06:00,386.7719408811189,637.571650504119,97.45629537388504
2020-05-22 08:25:00-06:00,403.94907241713855,649.1502068340574,99.15849649600273
2020-05-22 08:30:00-06:00,421.0138200396953,659.2105750217348,101.20466062686472
2020-05-22 08:35:00-06:00,437.95359021370064,667.9441919892776,103.56630007777437
2020-05-22 08:40:00-06:00,454.75640604291056,675.5262145224115,106.21120448410238
2020-05-22 08:45:00-06:00,471.4108138941106,682.1057445935339,109.10993463606985
2020-05-22 08:50:00-06:00,487.90575229370234,687.8056913902392,112.23790955894947
2020-05-22 08:55:00-06:00,504.2307585832939,692.7273364209319,115.57514506527912
2020-05-22 09:00:00-06:00,520.375566242973,696.9532011920951,119.10593477543313
2020-05-22 09:05:00-06:00,536.624711283777,701.6904957644425,122.43998292747864
2020-05-22 09:10:00-06:00,552.6918491688165,705.8924671765236,125.90895067911453
2020-05-22 09:15:00-06:00,568.567347217572,709.6101165311456,129.5018424627017
2020-05-22 09:20:00-06:00,584.2418331445073,712.8869489454555,133.20924130991244
2020-05-22 09:25:00-06:00,599.7063806768257,715.7615214077049,137.02243787118874
2020-05-22 09:30:00-06:00,614.9520964324499,718.2671799715724,140.9335710017096
2020-05-22 09:35:00-06:00,629.9702936310466,720.433772554002,144.9350573161658
2020-05-22 09:40:00-06:00,644.7527333678727,722.289186749446,149.0190410108762
2020-05-22 09:45:00-06:00,659.291071494742,723.8579532894288,153.1779956981136
2020-05-22 09:50:00-06:00,673.5774815759726,725.1638422651134,157.40374405980413
2020-05-22 09:55:00-06:00,687.6040152329771,726.2279165632699,161.6883164159267
2020-05-22 10:00:00-06:00,701.363235615148,727.0710226658758,166.02295700451202
2020-05-22 10:05:00-06:00,714.847657278728,727.7119617897894,170.39897215005885
2020-05-22 10:10:00-06:00,728.0499680604353,728.1684700380121,174.80737343341707
2020-05-22 10:15:00-06:00,740.9633097383686,728.4582349860049,179.23846076386758
2020-05-22 10:20:00-06:00,753.580741148553,728.5971942031391,183.68266287269262
2020-05-22 10:25:00-06:00,765.8955049727326,728.6004836841222,188.13017451688938
2020-05-22 10:30:00-06:00,777.9012951686628,728.4834332211733,192.570509118117
2020-05-22 10:35:00-06:00,789.591624298736,728.2594520444804,196.99360309376618
2020-05-22 10:40:00-06:00,800.9605618128716,727.9425543184834,201.38860895553728
2020-05-22 10:45:00-06:00,812.0020731378692,727.5452040476217,205.74503619430482
2020-05-22 10:50:00-06:00,822.7103076214578,727.0792711720957,210.05233494202457
2020-05-22 10:55:00-06:00,833.0798884709337,726.5570356933232,214.2993975760785
2020-05-22 11:00:00-06:00,843.1053347524482,725.9892737866606,218.475634202538
2020-05-22 11:05:00-06:00,852.7813408603151,725.3862315779372,222.5705108640285
2020-05-22 11:10:00-06:00,862.1030993656003,724.758639573505,226.57302839057013
2020-05-22 11:15:00-06:00,871.0655752917337,724.1154125742191,230.47304938665036
2020-05-22 11:20:00-06:00,879.6643403652683,723.4663158131066,234.25984871772096
2020-05-22 11:25:00-06:00,887.8947370902538,722.8193008128094,237.92367309880376
2020-05-22 11:30:00-06:00,895.7527182350061,722.1832049736657,241.4542293717459
2020-05-22 11:35:00-06:00,903.2341145571794,721.5653932445349,244.8420965894179
2020-05-22 11:40:00-06:00,910.3349422034681,720.9727724476187,248.07818131581973
2020-05-22 11:45:00-06:00,917.051742422479,720.412835174423,251.15312558252924
2020-05-22 11:50:00-06:00,923.3809217995607,719.8916014477201,254.0585734814822
2020-05-22 11:55:00-06:00,929.3190836205881,719.4146462216142,256.7866011100315
2020-05-22 12:00:00-06:00,934.8633593193122,718.9881559787043,259.3290913968949
2020-05-22 12:05:00-06:00,939.6690527729538,717.5511671809763,262.34328519338703
2020-05-22 12:10:00-06:00,944.0719545381712,716.1673125756221,265.16992976032327
2020-05-22 12:15:00-06:00,948.0697861300689,714.8410289066112,267.80178187757974
2020-05-22 12:20:00-06:00,951.6608145488731,713.57738600682,270.2314611951557
2020-05-22 12:25:00-06:00,954.8435112386276,712.3810360688058,272.45212652255793
2020-05-22 12:30:00-06:00,957.616210906054,711.2551414652709,274.4581870514314
2020-05-22 12:35:00-06:00,959.9777951304676,710.2035108524796,276.2439666022268
2020-05-22 12:40:00-06:00,961.9273537490019,709.229535653443,277.80439568700353
2020-05-22 12:45:00-06:00,963.4638343373382,708.3351137314398,279.13572081243274
2020-05-22 12:50:00-06:00,964.5868531464383,707.5231578779628,280.23390982742944
2020-05-22 12:55:00-06:00,965.2957685687719,706.7947282638721,281.096506005008
2020-05-22 13:00:00-06:00,965.5906076618515,706.1519057313399,281.72078742327903
2020-05-22 13:05:00-06:00,965.4711388202227,705.5949170715711,282.10562778912265
2020-05-22 13:10:00-06:00,964.9376834791809,705.1246528526095,282.24987607366756
2020-05-22 13:15:00-06:00,963.9907676322333,704.7415884194747,282.1530555027549
2020-05-22 13:20:00-06:00,962.6307740038529,704.4447037899508,281.81606077057916
2020-05-22 13:25:00-06:00,960.8586373166495,704.233642201478,281.23976207911244
2020-05-22 13:30:00-06:00,958.6754964837326,704.1076281174331,280.425700956891
2020-05-22 13:35:00-06:00,956.0823471293021,704.0643906856958,279.376772399443
2020-05-22 13:40:00-06:00,953.0808496868963,704.1026740322045,278.0956044435411
2020-05-22 13:45:00-06:00,949.6724084446897,704.2193683161489,276.58638428380914
2020-05-22 13:50:00-06:00,945.858973652341,704.4120157535099,274.8532400107232
2020-05-22 13:55:00-06:00,941.6426976486442,704.6777313434104,272.9009185929218
2020-05-22 14:00:00-06:00,937.0255909789516,705.0121395498477,270.7354313560836
2020-05-22 14:05:00-06:00,932.0102082652506,705.411504990265,268.36268955008984
2020-05-22 14:10:00-06:00,926.5992989278898,705.8716603100243,265.78916013868445
2020-05-22 14:15:00-06:00,920.7954778844487,706.3869520562607,263.02248997095705
2020-05-22 14:20:00-06:00,914.6020023464016,706.952700857994,260.0699526548186
2020-05-22 14:25:00-06:00,908.0218818859827,707.562392781694,256.9401489920592
2020-05-22 14:30:00-06:00,901.0587653488327,708.2104701931677,253.64126863343847
2020-05-22 14:35:00-06:00,893.7160544638332,708.889547340266,250.1827425956816
2020-05-22 14:40:00-06:00,885.9976758640126,709.5928322904495,246.57374762087932
2020-05-22 14:45:00-06:00,877.9077408854581,710.313076597525,242.82380548432093
2020-05-22 14:50:00-06:00,869.4502371616403,711.041554774819,238.94333480462467
2020-05-22 14:55:00-06:00,860.6296577923674,711.77010302951,234.94241281110328
2020-05-22 15:00:00-06:00,851.4506851374066,712.4900786679351,230.83135432054712
2020-05-22 15:05:00-06:00,840.5315357585994,708.683316147056,229.12413575271455
2020-05-22 15:10:00-06:00,829.2956455419534,704.9156580548004,227.2250970760482
2020-05-22 15:15:00-06:00,817.7498699977102,701.1838331229105,225.1384298133985
2020-05-22 15:20:00-06:00,805.9011120948713,697.4837432636423,222.86897788379417
2020-05-22 15:25:00-06:00,793.7567240979527,693.811712300426,220.421553936304
2020-05-22 15:30:00-06:00,781.3239019465677,690.162485216944,217.80198545573546
2020-05-22 15:35:00-06:00,768.6100905199488,686.5304479082431,215.01644120196852
2020-05-22 15:40:00-06:00,755.6228704868904,682.9091986099655,212.07163543077252
2020-05-22 15:45:00-06:00,742.3699685133075,679.2914080456899,208.97488536021478
2020-05-22 15:50:00-06:00,728.8592448104328,675.6686371512895,205.73418097995773
2020-05-22 15:55:00-06:00,715.0986961765201,672.031095593503,202.35829061522884
2020-05-22 16:00:00-06:00,701.0964599934207,668.3673262071724,198.85690236058065
2020-05-22 16:05:00-06:00,686.860801641508,664.6637955273502,195.24080198755166
2020-05-22 16:10:00-06:00,672.4000442878333,660.9040857593961,191.52223286736995
2020-05-22 16:15:00-06:00,657.7228900384138,657.0693256445813,187.71471169899348
2020-05-22 16:20:00-06:00,642.8379295203963,653.13564480292,183.8341309511169
2020-05-22 16:25:00-06:00,627.7539668778877,649.0742005686087,179.8987170327078
2020-05-22 16:30:00-06:00,612.479951212019,644.8495302943398,175.92969808472708
2020-05-22 16:35:00-06:00,597.0249661932065,640.41788015476,171.95191746673305
2020-05-22 16:40:00-06:00,581.3982390319022,635.7252090597806,167.99451382533277
2020-05-22 16:45:00-06:00,565.6091510474561,630.7048896271419,164.09160987554884
2020-05-22 16:50:00-06:00,549.6672298679686,625.2752047933834,160.28290426073863
2020-05-22 16:55:00-06:00,533.5821726150687,619.3368908186335,156.61400696204277
